phaora-hardscape-001.jpg: API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20241022'}, 'request_id': 'req_011CaQNkW5yRFNMHUB2TfkLo'}, defaulting to outdoor
phaora-hardscape-027.jpg: API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20241022'}, 'request_id': 'req_011CaQNmHPmNTgVtaoU137tv'}, defaulting to outdoor
phaora-hardscape-028.jpg: API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20241022'}, 'request_id': 'req_011CaQNmLbzjXL3uHRCXSYtF'}, defaulting to outdoor
phaora-hardscape-029.jpg: API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20241022'}, 'request_id': 'req_011CaQNmNT7f2gANG7wDcH2r'}, defaulting to outdoor
phaora-hardscape-030.jpg: API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20241022'}, 'request_id': 'req_011CaQNmPgnEyap5cbU2japW'}, defaulting to outdoor
phaora-hardscape-031.jpg: API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20241022'}, 'request_id': 'req_011CaQNmSBrNctN8ZJbwG8me'}, defaulting to outdoor
phaora-hardscape-032.jpg: API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20241022'}, 'request_id': 'req_011CaQNmTYDGwgvA5s72bmZy'}, defaulting to outdoor
phaora-hardscape-033.jpg: API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20241022'}, 'request_id': 'req_011CaQNmUm8ieW9EkgGmPxVw'}, defaulting to outdoor
phaora-hardscape-034.jpg: API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20241022'}, 'request_id': 'req_011CaQNmW8V2AUpnYqTXmCSX'}, defaulting to outdoor
phaora-hardscape-035.jpg: API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20241022'}, 'request_id': 'req_011CaQNmX43hF3vbHjxgfWto'}, defaulting to outdoor
phaora-hardscape-036.jpg: API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20241022'}, 'request_id': 'req_011CaQNmZNwY5DnS9bHkjkYZ'}, defaulting to outdoor
phaora-hardscape-037.jpg: API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20241022'}, 'request_id': 'req_011CaQNmanHHqUXkVMF2AHQL'}, defaulting to outdoor
phaora-hardscape-038.jpg: API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20241022'}, 'request_id': 'req_011CaQNmbi6LH4X8FyhJcCHX'}, defaulting to outdoor
phaora-hardscape-039.jpg: API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20241022'}, 'request_id': 'req_011CaQNmctnL2Rt8q5bzUEmJ'}, defaulting to outdoor
phaora-hardscape-040.jpg: API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20241022'}, 'request_id': 'req_011CaQNmebxvA2WeX3z8C8oy'}, defaulting to outdoor
phaora-hardscape-041.jpg: API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20241022'}, 'request_id': 'req_011CaQNmh5JMUfWN6Ak5i52C'}, defaulting to outdoor
phaora-hardscape-042.jpg: API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20241022'}, 'request_id': 'req_011CaQNmitBqnqPGzJ9r1VrP'}, defaulting to outdoor
phaora-hardscape-043.jpg: API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20241022'}, 'request_id': 'req_011CaQNmkatNm8GbaCTMB4D8'}, defaulting to outdoor
phaora-hardscape-044.jpg: API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20241022'}, 'request_id': 'req_011CaQNmmbeyE5F4hiqQrzyp'}, defaulting to outdoor
phaora-hardscape-045.jpg: API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20241022'}, 'request_id': 'req_011CaQNmneAMBAdTbJTwMwdN'}, defaulting to outdoor
phaora-hardscape-046.jpg: API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20241022'}, 'request_id': 'req_011CaQNmpdU18ndsqv7xChxd'}, defaulting to outdoor
phaora-hardscape-047.jpg: API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20241022'}, 'request_id': 'req_011CaQNmr3YcxvN2NHxUDTmc'}, defaulting to outdoor
phaora-hardscape-048.jpg: API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20241022'}, 'request_id': 'req_011CaQNmteKUr21ymYx1VPuU'}, defaulting to outdoor
phaora-hardscape-049.jpg: API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20241022'}, 'request_id': 'req_011CaQNmv8N2WjVegfyEg8YC'}, defaulting to outdoor
phaora-hardscape-050.jpg: API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20241022'}, 'request_id': 'req_011CaQNmwC7UH2LidB8V6C5w'}, defaulting to outdoor
phaora-hardscape-051.jpg: API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20241022'}, 'request_id': 'req_011CaQNmyH7vYifkinGKzGhp'}, defaulting to outdoor
phaora-hardscape-052.jpg: API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20241022'}, 'request_id': 'req_011CaQNmzEfaCij9uZU5vwCa'}, defaulting to outdoor
phaora-hardscape-053.jpg: API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20241022'}, 'request_id': 'req_011CaQNn2MR2DkfE3HQjZTZr'}, defaulting to outdoor
phaora-hardscape-054.jpg: API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20241022'}, 'request_id': 'req_011CaQNn3dZLRxbQKDcKbcL4'}, defaulting to outdoor
phaora-hardscape-055.jpg: API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20241022'}, 'request_id': 'req_011CaQNn5RTgKdsbDhgGhwBa'}, defaulting to outdoor
phaora-hardscape-056.jpg: API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20241022'}, 'request_id': 'req_011CaQNnABxCwKfUrWEgYUd8'}, defaulting to outdoor
phaora-hardscape-057.jpg: API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20241022'}, 'request_id': 'req_011CaQNnBFx614c9fXJY466d'}, defaulting to outdoor
phaora-hardscape-058.jpg: API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20241022'}, 'request_id': 'req_011CaQNnCEVCNZdunY3Hes5P'}, defaulting to outdoor
phaora-hardscape-059.jpg: API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20241022'}, 'request_id': 'req_011CaQNnDCmy5PVhsEdZBffZ'}, defaulting to outdoor
phaora-hardscape-060.jpg: API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20241022'}, 'request_id': 'req_011CaQNnELjrerCmaswRNqjV'}, defaulting to outdoor
phaora-hardscape-061.jpg: API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20241022'}, 'request_id': 'req_011CaQNnGNHKASp6ty2cehmu'}, defaulting to outdoor
phaora-hardscape-062.jpg: API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20241022'}, 'request_id': 'req_011CaQNnHQHZBDyWrEjXcNzu'}, defaulting to outdoor
phaora-hardscape-063.jpg: API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20241022'}, 'request_id': 'req_011CaQNnJdhsDGqV9gW4uxtj'}, defaulting to outdoor
phaora-hardscape-064.jpg: API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20241022'}, 'request_id': 'req_011CaQNnLb2dGPusUe8axxjA'}, defaulting to outdoor
phaora-hardscape-065.jpg: API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20241022'}, 'request_id': 'req_011CaQNnMfmbq8bX5LE7QKQ7'}, defaulting to outdoor
phaora-hardscape-066.jpg: API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20241022'}, 'request_id': 'req_011CaQNnQ2eXwiT8sJ5tDUZ3'}, defaulting to outdoor
phaora-hardscape-067.jpg: API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20241022'}, 'request_id': 'req_011CaQNnQh5kTz5kHdyA3n9B'}, defaulting to outdoor
phaora-hardscape-068.jpg: API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20241022'}, 'request_id': 'req_011CaQNnSEMp2L1CjbEbczqM'}, defaulting to outdoor
phaora-hardscape-069.jpg: API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20241022'}, 'request_id': 'req_011CaQNnTUX6BgiG8k5VLx9J'}, defaulting to outdoor
phaora-hardscape-070.jpg: API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20241022'}, 'request_id': 'req_011CaQNnUNbHWb5koorA42Xf'}, defaulting to outdoor
phaora-hardscape-071.jpg: API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20241022'}, 'request_id': 'req_011CaQNnWS7rGhWj2hhB1S3u'}, defaulting to outdoor
phaora-hardscape-072.jpg: API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20241022'}, 'request_id': 'req_011CaQNnXRea66vahEorswVL'}, defaulting to outdoor
phaora-hardscape-073.jpg: API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20241022'}, 'request_id': 'req_011CaQNnYbLm1PdBwXUV7zDh'}, defaulting to outdoor
phaora-hardscape-074.jpg: API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20241022'}, 'request_id': 'req_011CaQNnZcrXEMBTEeUvJ227'}, defaulting to outdoor
phaora-hardscape-075.jpg: API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20241022'}, 'request_id': 'req_011CaQNnaiqVutKgyQHU2ivn'}, defaulting to outdoor
phaora-hardscape-076.jpg: API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20241022'}, 'request_id': 'req_011CaQNncT1rhCHru7UqG5pe'}, defaulting to outdoor
phaora-hardscape-077.jpg: API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20241022'}, 'request_id': 'req_011CaQNndMbBh35yGzB9ixcz'}, defaulting to outdoor
phaora-hardscape-078.jpg: API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20241022'}, 'request_id': 'req_011CaQNnfwN7rweNoxfPwsJ8'}, defaulting to outdoor
phaora-hardscape-079.jpg: API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20241022'}, 'request_id': 'req_011CaQNngcJ8KfNEapDQ6BTY'}, defaulting to outdoor
phaora-hardscape-080.jpg: API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20241022'}, 'request_id': 'req_011CaQNnhYMXw8Yxj5QQCXdC'}, defaulting to outdoor
phaora-hardscape-081.jpg: API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20241022'}, 'request_id': 'req_011CaQNnj3eQWP6ej591tTDK'}, defaulting to outdoor
phaora-hardscape-082.jpg: API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20241022'}, 'request_id': 'req_011CaQNnjjKCeGTdsZkgrGJF'}, defaulting to outdoor
phaora-hardscape-083.jpg: API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20241022'}, 'request_id': 'req_011CaQNnkYgMgVC7zRe7YMoi'}, defaulting to outdoor
phaora-hardscape-084.jpg: API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20241022'}, 'request_id': 'req_011CaQNnmN3LMfdD7kFQumAV'}, defaulting to outdoor
phaora-hardscape-085.jpg: API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20241022'}, 'request_id': 'req_011CaQNnniuD3nbRoVmnR6TE'}, defaulting to outdoor
phaora-hardscape-086.jpg: API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20241022'}, 'request_id': 'req_011CaQNnpFgKD8xTsG2WSsgz'}, defaulting to outdoor
phaora-hardscape-087.jpg: API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20241022'}, 'request_id': 'req_011CaQNnpz5Sw7hpSkhDuwV9'}, defaulting to outdoor
phaora-hardscape-088.jpg: API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20241022'}, 'request_id': 'req_011CaQNnqyrgfPn781oMBefw'}, defaulting to outdoor
phaora-hardscape-089.jpg: API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20241022'}, 'request_id': 'req_011CaQNnrtBEZb5tdm1Lhj3F'}, defaulting to outdoor
phaora-hardscape-090.jpg: API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20241022'}, 'request_id': 'req_011CaQNnsVdxRyR1FfNZe9pR'}, defaulting to outdoor
phaora-hardscape-091.jpg: API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20241022'}, 'request_id': 'req_011CaQNnuH3pgbLsXU31ZWNb'}, defaulting to outdoor
phaora-hardscape-092.jpg: API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20241022'}, 'request_id': 'req_011CaQNnv1wwRRUsBW6TAP4H'}, defaulting to outdoor
phaora-hardscape-093.jpg: API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20241022'}, 'request_id': 'req_011CaQNnvopkds2jy6sYBMsP'}, defaulting to outdoor
phaora-hardscape-094.jpg: API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20241022'}, 'request_id': 'req_011CaQNnwdRpuyKJCsg38zcR'}, defaulting to outdoor
phaora-hardscape-095.jpg: API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20241022'}, 'request_id': 'req_011CaQNnyihCtk5RCVS8Aj5j'}, defaulting to outdoor
phaora-hardscape-096.jpg: API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20241022'}, 'request_id': 'req_011CaQNo1xdR4qDy2ZUrQDia'}, defaulting to outdoor
phaora-hardscape-097.jpg: API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20241022'}, 'request_id': 'req_011CaQNo2njue1T4UKmjzXZ9'}, defaulting to outdoor
phaora-hardscape-098.jpg: API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20241022'}, 'request_id': 'req_011CaQNo3SvjKmKm8wvcqJk8'}, defaulting to outdoor
phaora-hardscape-099.jpg: API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20241022'}, 'request_id': 'req_011CaQNo4D4ZAJjMBkbfWXSe'}, defaulting to outdoor
phaora-hardscape-100.jpg: API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20241022'}, 'request_id': 'req_011CaQNo53v4uJHhMzX6Bwtd'}, defaulting to outdoor
phaora-hardscape-101.jpg: API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20241022'}, 'request_id': 'req_011CaQNo6cBB9NBMxuEdNtoP'}, defaulting to outdoor
phaora-hardscape-102.jpg: API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20241022'}, 'request_id': 'req_011CaQNo7Yymx6gJQdYd16DU'}, defaulting to outdoor
phaora-hardscape-103.jpg: API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20241022'}, 'request_id': 'req_011CaQNo8MbqkR7huF4JinuH'}, defaulting to outdoor
phaora-hardscape-104.jpg: API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20241022'}, 'request_id': 'req_011CaQNo9yq8x92zk1z7nCWK'}, defaulting to outdoor
phaora-hardscape-105.jpg: API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20241022'}, 'request_id': 'req_011CaQNoApggUTeaoDke9uRQ'}, defaulting to outdoor
phaora-hardscape-106.jpg: API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20241022'}, 'request_id': 'req_011CaQNoCrUGH1Nqq9GZe67N'}, defaulting to outdoor
phaora-hardscape-107.jpg: API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20241022'}, 'request_id': 'req_011CaQNoE2fQKzX77z19Nsop'}, defaulting to outdoor
phaora-hardscape-108.jpg: API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20241022'}, 'request_id': 'req_011CaQNoF98x9TiTtqB2pjAj'}, defaulting to outdoor
phaora-hardscape-109.jpg: API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20241022'}, 'request_id': 'req_011CaQNoG6S5FZTiSqXnzztF'}, defaulting to outdoor
phaora-hardscape-110.jpg: API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20241022'}, 'request_id': 'req_011CaQNoR7REN1eWsaNQQaCq'}, defaulting to outdoor
phaora-hardscape-111.jpg: API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20241022'}, 'request_id': 'req_011CaQNoTo94reTia8yXJTKy'}, defaulting to outdoor
phaora-hardscape-112.jpg: API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20241022'}, 'request_id': 'req_011CaQNoUU5CPCHWDjEDdh7k'}, defaulting to outdoor
phaora-hardscape-113.jpg: API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20241022'}, 'request_id': 'req_011CaQNoVN9gNX8ht2dUHETx'}, defaulting to outdoor
phaora-hardscape-114.jpg: API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20241022'}, 'request_id': 'req_011CaQNoWpxTQsq5isGz2Bhe'}, defaulting to outdoor
phaora-hardscape-115.jpg: API error: Error code: 404 - {'type': 'error', 'error': {'type': 'not_found_error', 'message': 'model: claude-sonnet-4-5-20241022'}, 'request_id': 'req_011CaQNoXinP2hPpSy6dJtcd'}, defaulting to outdoor
